loan_amnt,funded_amnt,funded_amnt_inv,term,int_rate,installment,grade,sub_grade,loan_status
13000,13000,13000.0, 36 months,7.14%,402.24,A,A3,Fully Paid
6400,6400,6400.0, 36 months,10.65%,208.47,B,B2,Fully Paid
1000,1000,1000.0, 36 months,13.23%,33.81,C,C1,Fully Paid
17500,17500,17500.0, 60 months,11.71%,386.72,B,B3,Fully Paid
5000,5000,5000.0, 36 months,6.03%,152.18,A,A1,Fully Paid
11750,11750,11750.0, 36 months,8.90%,373.11,A,A5,Fully Paid
4800,4800,4800.0, 36 months,10.74%,156.56,B,B4,Fully Paid
4200,4200,4200.0, 36 months,5.42%,126.68,A,A1,Fully Paid
14500,14500,13975.0, 36 months,6.54%,444.68,A,A4,Fully Paid
5000,5000,5000.0, 36 months,11.71%,165.38,B,B3,Fully Paid
35000,35000,6196.695506, 60 months,17.49%,879.09,D,D5,Fully Paid
11500,11500,11495.38784, 36 months,15.31%,400.38,D,D3,Fully Paid
7200,7200,1250.0, 36 months,14.67%,248.43,E,E5,Fully Paid
8000,8000,7950.0, 36 months,14.96%,277.18,D,D2,Fully Paid
5200,5200,5200.0, 36 months,6.62%,159.66,A,A2,Fully Paid
15000,15000,14964.63751, 36 months,7.49%,466.53,A,A4,Fully Paid
2275,2275,2275.0, 36 months,6.17%,69.39,A,A3,Fully Paid
1200,1200,1200.0, 36 months,14.26%,41.17,C,C5,Fully Paid
9800,9800,9800.0, 60 months,12.68%,221.38,C,C1,Fully Paid
2000,2000,1975.0, 36 months,11.12%,65.6,B,B3,Fully Paid
18000,18000,18000.0, 60 months,20.30%,479.9,E,E5,Fully Paid
18000,16500,16475.0, 60 months,15.23%,394.53,C,C5,Fully Paid
5000,5000,5000.0, 36 months,7.14%,154.7,A,A3,Fully Paid
14500,14500,14475.0, 36 months,13.98%,495.44,C,C3,Fully Paid
5000,5000,4983.873723, 36 months,5.42%,150.8,A,A1,Fully Paid
15000,15000,13975.0, 36 months,9.63%,481.42,A,A5,Fully Paid
10000,10000,9996.2282, 36 months,7.29%,310.1,A,A4,Fully Paid
14500,14500,14490.87525, 36 months,13.48%,491.9,C,C3,Fully Paid
6400,6400,6400.0, 36 months,14.79%,221.21,C,C4,Fully Paid
3500,3500,3425.0, 36 months,11.49%,115.4,B,B4,Fully Paid
7000,7000,6841.428574, 36 months,13.61%,237.92,C,C2,Fully Paid
6500,6500,6500.0, 36 months,6.03%,197.84,A,A1,Fully Paid
3500,3500,3250.0, 36 months,10.59%,113.91,B,B2,Fully Paid
10000,10000,9913.398405, 36 months,11.14%,328.04,B,B1,Fully Paid
8400,8400,8303.319159, 36 months,13.23%,283.97,C,C1,Fully Paid
10000,10000,10000.0, 36 months,7.51%,311.1,A,A4,Fully Paid
